Port/TCP Information
"20/TCP"
"21/TCP"
"22/TCP"
"23/TCP"
"25/TCP"
"27/TCP"
"28/TCP"
"39/TCP"
"44/TCP"
"52/TCP"
"53/TCP"
"54/TCP"
"69/TCP"
"80/TCP"
"102/TCP"
"105/TCP"
"113/TCP"
"123/TCP"
"137/UDP"
"146/TCP"
"146/UDP"
"200/TCP"
"222/TCP"
"285/TCP"
"370/TCP"
"420/TCP"
"555/TCP"
"589/TCP"
"650/TCP"
"666/TCP"
"668/TCP"
"669/TCP"
"692/TCP"
"777/TCP"
"831/TCP"
"901/TCP"
"902/TCP"
"903/TCP"
"956/TCP"
"999/TCP"
"1000/TCP"
"1001/TCP"
"1005/TCP"
"1010/TCP"
"1011/TCP"
"1012/TCP"
"1015/TCP"
"1016/TCP"
"1024/TCP"
"1025/TCP"
"1025/UDP"
"1026/TCP"
"1027/TCP"
"1028/TCP"
"1028/UDP"
"1029/TCP"
"1029/UDP"
"1030/TCP"
"1031/TCP"
"1032/TCP"
"1033/TCP"
"1034/TCP"
"1035/TCP"
"1036/TCP"
"1037/TCP"
"1042/TCP"
"1042/UDP"
"1044/TCP"
"1044/UDP"
"1049/TCP"
"1080/TCP"
"1166/TCP"
"1167/TCP"
"1207/TCP"
"1208/TCP"
"1349/TCP"
"1369/TCP"
"1441/TCP"
"1560/TCP"
"1561/UDP"
"1826/TCP"
"1911/TCP"
"1967/TCP"
"1983/TCP"
"1984/TCP"
"1985/TCP"
"1991/TCP"
"1999/TCP"
"2000/TCP"
"2001/TCP"
"2002/TCP"
"2004/TCP"
"2005/TCP"
"2023/TCP"
"2150/TCP"
"2311/TCP"
"2332/TCP"
"2345/TCP"
"2583/TCP"
"2800/TCP"
"2929/TCP"
"2983/TCP"
"3000/TCP"
"3024/TCP"
"3031/TCP"
"3131/TCP"
"3410/TCP"
"3456/TCP"
"4092/TCP"
"4201/TCP"
"4225/TCP"
"4444/TCP"
"4653/TCP"
"4700/TCP"
"5000/TCP"
"5005/TCP"
"5025/TCP"
"5050/TCP"
"5151/TCP"
"5221/TCP"
"5695/TCP"
"5696/TCP"
"5697/TCP"
"5742/TCP"
"5873/TCP"
"5933/TCP"
"6000/TCP"
"6526/TCP"
"6667/TCP"
"6711/TCP"
"6969/TCP"
"7000/TCP"
"7007/TCP"
"7119/TCP"
"7290/TCP"
"7291/TCP"
"7626/TCP"
"7718/TCP"
"7800/TCP"
"7850/TCP"
"7878/TCP"
"7879/TCP"
"8012/TCP"
"8012/UDP"
"8811/TCP"
"8812/TCP"
"9117/TCP"
"9400/TCP"
"9401/TCP"
"9561/TCP"
"9563/TCP"
"9877/TCP"
"9878/TCP"
"9879/TCP"
"10001/TCP"
"10012/TCP"
"10013/TCP"
"10100/TCP"
"11000/TCP"
"11011/TCP"
"11111/TCP"
"11831/TCP"
"12000/TCP"
"12223/TCP"
"12345/TCP"
"12346/TCP"
"12348/TCP"
"12349/TCP"
"12973/TCP"
"12975/TCP"
"13223/TCP"
"13371/TCP"
"13500/TCP"
"14194/TCP"
"15000/TCP"
"15382/TCP"
"16057/TCP"
"16484/TCP"
"17499/TCP"
"17500/TCP"
"17569/TCP"
"20000/TCP"
"20001/TCP"
"20005/TCP"
"20331/TCP"
"21579/TCP"
"21957/TCP"
"22222/TCP"
"23023/TCP"
"23032/TCP"
"23321/TCP"
"24000/TCP"
"24289/TCP"
"25685/TCP"
"25686/TCP"
"25982/TCP"
"27160/TCP"
"27374/TCP"
"27379/TCP"
"28431/TCP"
"29559/TCP"
"29999/TCP"
"30000/TCP"
"30100/TCP"
"30101/TCP"
"30102/TCP"
"30103/UDP"
"30103/TCP"
"30133/TCP"
"30331/TCP"
"31557/TCP"
"31785/TCP"
"31787/TCP"
"31788/TCP"
"31789/TCP"
"31789/UDP"
"31790/TCP"
"31791/UDP"
"31791/TCP"
"31792/TCP"
"33333/TCP"
"34312/TCP"
"34313/TCP"
"34343/TCP"
"35000/TCP"
"35600/TCP"
"36794/TCP"
"38741/TCP"
"38742/TCP"
"40308/TCP"
"40412/TCP"
"44444/TCP"
"45454/TCP"
"47891/TCP"
"48004/TCP"
"48006/TCP"
"48512/TCP"
"49000/TCP"
"49301/TCP"
"50000/TCP"
"50021/TCP"
"50551/TCP"
"50552/TCP"
"55665/TCP"
"55666/TCP"
"56565/TCP"
"60551/TCP"
"60552/TCP"
